Detectado,Acuracia
tvmonitor, 0.9609
cup, 0.5786
tvmonitor, 0.9988
tvmonitor, 0.9822
mouse, 0.9767
bottle, 0.9299
keyboard, 0.9137
person, 0.6120
tvmonitor, 0.9989
mouse, 0.9968
bottle, 0.9707
tvmonitor, 0.9685
keyboard, 0.9554
person, 0.8312
cup, 0.7044
tvmonitor, 0.9982
mouse, 0.9953
keyboard, 0.9943
tvmonitor, 0.9575
cup, 0.9310
bottle, 0.9008
tvmonitor, 0.9978
mouse, 0.9905
keyboard, 0.9848
cup, 0.9309
tvmonitor, 0.9293
bottle, 0.8899
person, 0.8110
tvmonitor, 0.9985
keyboard, 0.9931
mouse, 0.9813
tvmonitor, 0.9654
cup, 0.9023
person, 0.6776
cup, 0.5085
tvmonitor, 0.9989
tvmonitor, 0.9917
mouse, 0.9112
person, 0.6014
tvmonitor, 0.9963
tvmonitor, 0.9526
mouse, 0.9440
person, 0.8419
keyboard, 0.8287
tvmonitor, 0.9990
person, 0.9954
tvmonitor, 0.9693
keyboard, 0.8921
tvmonitor, 0.9986
person, 0.9937
keyboard, 0.9788
tvmonitor, 0.8985
cup, 0.6944
bottle, 0.5312
tvmonitor, 0.9987
person, 0.9847
tvmonitor, 0.9653
keyboard, 0.9564
tvmonitor, 0.9984
person, 0.9966
keyboard, 0.9609
laptop, 0.9511
tvmonitor, 0.9987
person, 0.9972
keyboard, 0.9887
tvmonitor, 0.8577
tvmonitor, 0.9981
person, 0.9865
tvmonitor, 0.9857
keyboard, 0.9495
tvmonitor, 0.9966
person, 0.9870
tvmonitor, 0.9859
tvmonitor, 0.9992
person, 0.9946
tvmonitor, 0.9752
mouse, 0.7370
keyboard, 0.6242
tvmonitor, 0.9995
tvmonitor, 0.9867
person, 0.9783
keyboard, 0.9082
cup, 0.5460
tvmonitor, 0.9993
tvmonitor, 0.9920
person, 0.9904
keyboard, 0.9596
cup, 0.6989
tvmonitor, 0.9987
person, 0.9927
keyboard, 0.9378
tvmonitor, 0.8873
tvmonitor, 0.9991
person, 0.9920
tvmonitor, 0.8759
tvmonitor, 0.9987
person, 0.9889
tvmonitor, 0.9475
tvmonitor, 0.9985
person, 0.9976
tvmonitor, 0.9591
tvmonitor, 0.9994
person, 0.9983
tvmonitor, 0.9397
keyboard, 0.6114
tvmonitor, 0.9990
person, 0.9979
tvmonitor, 0.9613
keyboard, 0.8657
bottle, 0.6776
tvmonitor, 0.9980
keyboard, 0.9620
mouse, 0.9421
tvmonitor, 0.9304
cup, 0.8902
tvmonitor, 0.9975
cup, 0.9961
mouse, 0.9945
keyboard, 0.9841
tvmonitor, 0.9806
